Batch 1
EO-045 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-046 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-047 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-048 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-049 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-050 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-051 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-052 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-053 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-054 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-055 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-056 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-057 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-058 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-059 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-060 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-061 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-062 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-063 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-064 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-065 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-066 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-067 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-068 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-069 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-070 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-071 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-072 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-073 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-074 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-075 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-076 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-077 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-078 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-079 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-080 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-081 | cluster=2 | cluster_center=0.3282 | cluster_meaning=medium_quality
EO-082 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-083 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-084 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-085 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-086 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-087 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-088 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-089 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-090 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-091 | cluster=1 | cluster_center=0.1942 | cluster_meaning=low_quality
EO-092 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-093 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
EO-094 | cluster=0 | cluster_center=0.4145 | cluster_meaning=high_quality
